NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
,,4,6,1,,15,19,75000,8,Non-Male,White or of European descent,50,2
1,1,1,9,3,STEM,60,7,80000,8,Male,White or of European descent,30,3
3,1,6,5,4,STEM,20000,7,120000,12,Male,White or of European descent,30,4
,4,4,4,3,NON-STEM,3000,4,70000,12,Male,White or of European descent,30,2
1,1,2,8,4,,7500,1,60000,8,Male,Black or of African descent,40,2
,4,3,8,3,STEM,60,4,60000,12,Male,East Asian,21,2
,7,6,4,4,STEM,20000,7,140000,12,Male,White or of European descent,30,4
2,2,6,7,3,STEM,300,19,185000,12,Male,White or of European descent,40,5
2,4,6,7,4,NON-STEM,60,4,125000,12,Male,East Asian,30,4
,1,2,7,3,STEM,5,4,25000,12,Male,White or of European descent,30,1
1,7,3,10,1,STEM,3000,13,155000,12,Male,White or of European descent,30,5
1,1,2,7,4,STEM,300,10,113000,8,Non-Male,White or of European descent,40,4
2,,5,3,3,STEM,300,1,127000,8,Non-Male,East Asian,21,4
,1,2,7,1,NON-STEM,750,19,110000,12,Male,Hispanic or Latino/Latina,40,4
2,4,4,6,4,STEM,15,16,96000,8,Male,White or of European descent,40,3
1,3,4,9,3,STEM,60,7,94600,12,Male,White or of European descent,30,3
2,3,3,6,4,STEM,15,4,80000,12,Male,Other,30,3
,1,3,5,3,STEM,3000,25,90000,12,Male,White or of European descent,50,3
1,2,4,8,1,STEM,60,19,112000,14,Male,White or of European descent,40,4
3,6,1,8,1,STEM,300,22,78000,12,Male,White or of European descent,40,3
2,,3,6,3,STEM,3000,10,75000,12,Male,White or of European descent,30,2
2,3,3,9,4,STEM,60,4,53000,8,Male,White or of European descent,30,2
,1,1,4,4,STEM,3000,16,110000,12,Male,White or of European descent,50,4
,,,3,3,STEM,7500,16,200000,12,Male,Other,40,5
4,2,4,7,3,STEM,750,7,83000,8,Male,White or of European descent,30,3
1,4,7,7,1,NON-STEM,300,10,72000,12,Male,White or of European descent,30,2
,,1,6,2,STEM,3000,1,96000,14,Male,White or of European descent,30,3
2,6,6,7,3,STEM,20000,1,60000,12,Male,White or of European descent,21,2
,1,1,3,3,STEM,300,1,52000,8,,,,2
2,,1,5,3,NON-STEM,300,1,57000,12,Male,White or of European descent,30,2
3,2,2,6,1,,60,30,92000,14,Male,White or of European descent,50,3
4,6,10,16,3,STEM,300,30,140000,14,Male,White or of European descent,50,4
3,3,6,7,1,NON-STEM,60,10,78000,12,Male,White or of European descent,30,3
3,2,4,5,3,STEM,20000,7,130000,14,Male,White or of European descent,40,4
,2,1,4,3,STEM,60,4,60000,12,Male,White or of European descent,30,2
,3,4,9,4,STEM,20000,30,160000,8,Male,White or of European descent,50,5
2,7,1,10,1,NON-STEM,60,22,130000,12,Male,White or of European descent,40,4
,,1,1,4,NON-STEM,3000,7,120000,12,Male,White or of European descent,40,4
,2,1,6,3,STEM,60,4,60000,12,,,,2
,2,1,4,3,NON-STEM,300,4,54000,12,Male,White or of European descent,30,2
3,,3,8,3,STEM,20000,10,102000,14,,White or of European descent,30,4
4,4,4,10,4,NON-STEM,20000,13,130000,12,,,,4
3,8,8,10,1,NON-STEM,750,4,95000,12,Male,White or of European descent,30,3
,3,4,11,3,NON-STEM,20000,10,140000,8,Male,Hispanic or Latino/Latina,30,4
,1,1,5,4,STEM,60,10,93000,12,Male,White or of European descent,30,3
1,1,1,8,1,STEM,300,10,110000,8,Male,White or of European descent,30,4
,3,2,4,3,NON-STEM,300,1,80000,8,Male,White or of European descent,30,3
1,1,2,5,3,STEM,750,19,120000,12,Male,White or of European descent,40,4
,1,1,7,3,STEM,750,1,65000,12,Male,White or of European descent,30,2
1,2,2,8,3,STEM,20000,7,79899,12,Male,Black or of African descent,30,3
4,,4,14,4,STEM,20000,1,115000,12,Non-Male,Other,21,4
,3,6,7,3,STEM,300,19,83000,12,Male,White or of European descent,40,3
2,2,2,7,4,STEM,5,4,71250,12,Male,White or of European descent,30,2
1,,3,7,3,STEM,60,13,58000,12,Male,White or of European descent,40,2
6,4,4,8,3,,20000,1,75000,8,Male,White or of European descent,30,2
2,5,2,9,4,STEM,3000,13,110000,12,Male,White or of European descent,40,4
,1,,6,4,STEM,20000,4,149000,12,Male,White or of European descent,30,4
,,1,6,3,STEM,750,10,75000,12,Male,Other,30,2
3,5,4,7,4,STEM,15,25,140000,8,Male,White or of European descent,50,4
2,1,5,8,3,STEM,60,22,148000,12,Male,White or of European descent,40,4
5,4,8,10,,,20000,13,150000,12,Male,Other,40,4
,1,3,4,4,STEM,15,1,57000,12,Male,White or of European descent,30,2
,1,4,6,1,STEM,60,22,92000,12,Non-Male,White or of European descent,50,3
2,1,4,6,3,STEM,300,7,137000,14,Male,White or of European descent,30,4
3,3,6,9,4,STEM,3000,25,150000,12,Male,White or of European descent,40,4
1,2,6,10,3,STEM,3000,4,100000,14,Male,White or of European descent,30,3
,1,2,5,1,NON-STEM,15,28,106000,12,Male,White or of European descent,50,4
5,9,8,13,4,STEM,3000,4,135000,12,Male,White or of European descent,30,4
2,1,2,5,3,STEM,20000,13,115000,12,Male,White or of European descent,30,4
1,3,,6,4,STEM,750,7,125000,12,Male,White or of European descent,30,4
1,3,1,7,1,,750,10,64084,8,Male,White or of European descent,40,2
,3,5,4,4,NON-STEM,3000,7,117600,8,Male,White or of European descent,30,4
1,,1,7,3,STEM,7500,4,55560,12,Male,Hispanic or Latino/Latina,21,2
3,2,5,12,4,STEM,3000,4,80000,14,Male,White or of European descent,30,3
2,2,3,7,3,STEM,3000,4,92000,8,Male,White or of European descent,30,3
1,2,2,7,2,STEM,3000,1,27050,12,Male,White or of European descent,30,1
,1,1,6,3,STEM,15,7,98000,8,Male,White or of European descent,40,3
1,1,1,6,3,STEM,15,1,75000,12,Male,White or of European descent,21,2
1,5,1,12,1,STEM,5,7,100000,12,Male,White or of European descent,40,3
2,4,3,7,4,STEM,60,19,89000,12,Male,White or of European descent,30,3
2,3,3,8,2,NON-STEM,300,10,52000,12,Male,White or of European descent,30,2
2,2,4,9,3,STEM,20000,4,52000,8,Male,White or of European descent,30,2
3,3,8,19,1,,300,13,135000,14,Male,White or of European descent,30,4
4,6,5,8,3,STEM,15,7,95000,12,Male,,30,3
1,1,,9,4,STEM,20000,10,145000,8,Male,Other,40,4
2,6,3,3,3,STEM,750,19,165000,8,Non-Male,White or of European descent,40,5
,3,1,8,3,STEM,7500,30,120000,12,Male,White or of European descent,60,4
3,1,4,7,3,STEM,7500,1,70000,8,Male,White or of European descent,21,2
,3,3,6,4,NON-STEM,300,25,165000,12,Male,White or of European descent,50,5
,1,1,5,3,STEM,3000,28,90000,8,Male,White or of European descent,50,3
1,,4,2,4,STEM,20000,22,137000,8,Male,White or of European descent,60,4
1,8,5,15,3,STEM,3000,4,79000,12,Male,White or of European descent,30,3
1,4,,6,4,STEM,60,19,200000,12,Male,White or of European descent,50,5
,2,3,4,3,STEM,300,16,92000,12,Male,White or of European descent,40,3
1,5,2,1,3,STEM,300,4,200000,12,Male,White or of European descent,40,5
3,3,5,9,4,,20000,10,140000,8,Male,White or of European descent,30,4
,2,4,6,4,STEM,750,7,150000,12,Male,White or of European descent,30,4
,,2,3,3,STEM,3000,1,60000,12,Male,White or of European descent,30,2
,,,,4,STEM,3000,25,105000,,,,,4
,4,4,6,2,STEM,300,4,112000,12,Male,White or of European descent,30,4
3,4,5,9,3,STEM,750,13,125000,8,Male,White or of European descent,30,4
1,1,3,9,3,STEM,20000,4,47000,8,,,,1
2,1,1,8,3,NON-STEM,3000,7,54000,12,Male,White or of European descent,30,2
4,2,4,8,4,STEM,60,30,180000,12,Male,White or of European descent,60,5
,,,4,4,NON-STEM,60,1,48000,12,Non-Male,White or of European descent,30,1
1,3,2,9,3,STEM,20000,7,100000,8,Male,White or of European descent,30,3
,6,3,13,4,STEM,3000,13,145000,12,Male,White or of European descent,40,4
,1,1,4,2,STEM,15,1,50000,12,Male,Hispanic or Latino/Latina,40,1
2,6,2,7,1,STEM,20000,30,156000,14,Male,White or of European descent,50,5
1,3,7,6,,,60,4,125000,12,Male,White or of European descent,30,4
,,2,5,3,NON-STEM,20000,1,53000,12,Male,Other,21,2
,,1,4,4,STEM,3000,10,135000,8,Male,White or of European descent,40,4
,2,1,7,4,NON-STEM,20000,4,90000,8,Male,White or of European descent,30,3
3,3,5,12,3,NON-STEM,60,4,80000,12,Male,White or of European descent,30,3
,2,2,8,4,STEM,60,10,125000,8,Male,White or of European descent,30,4
1,2,1,4,4,STEM,20000,22,160000,8,Male,Hispanic or Latino/Latina,50,5
,,1,3,4,NON-STEM,750,1,102500,12,Non-Male,White or of European descent,30,4
4,3,5,6,4,STEM,60,4,85000,12,Male,,30,3
2,3,2,6,3,STEM,20000,1,78000,8,Male,White or of European descent,30,3
1,6,4,8,3,STEM,3000,10,130000,12,Male,White or of European descent,30,4
1,,1,7,3,STEM,300,4,50700,12,Male,Hispanic or Latino/Latina,30,2
5,5,2,12,3,STEM,3000,7,95000,12,,,,3
1,2,2,5,4,STEM,60,7,140000,8,Non-Male,Hispanic or Latino/Latina,30,4
2,6,7,7,4,NON-STEM,60,10,175000,12,Male,White or of European descent,30,5
3,,,5,3,STEM,60,13,85000,8,Male,White or of European descent,30,3
5,3,5,12,3,STEM,60,7,120000,14,Male,Other,30,4
1,2,2,5,4,STEM,3000,19,152000,12,Male,White or of European descent,40,5
2,4,7,8,1,NON-STEM,5,4,58241,8,Non-Male,White or of European descent,30,2
2,7,3,13,4,NON-STEM,300,19,100000,12,Male,White or of European descent,50,3
,4,6,7,1,STEM,60,16,85000,14,Male,White or of European descent,40,3
,2,4,5,3,STEM,20000,16,152000,12,Male,White or of European descent,40,5
1,,2,2,3,STEM,3000,10,100500,8,Male,White or of European descent,30,4
2,6,4,5,3,STEM,300,16,155000,12,Male,Hispanic or Latino/Latina,40,5
3,2,4,17,3,NON-STEM,3000,7,144500,12,Non-Male,White or of European descent,30,4
1,1,2,5,4,STEM,60,10,140000,12,Male,White or of European descent,30,4
2,6,1,6,3,STEM,750,7,142000,12,Male,White or of European descent,30,4
,2,6,9,4,NON-STEM,3000,7,100000,8,Male,,30,3
1,3,2,8,3,STEM,15,25,150000,14,Male,White or of European descent,60,4
3,10,5,6,1,STEM,60,7,75000,12,Male,White or of European descent,40,2
3,4,6,8,3,STEM,3000,16,100000,14,Male,White or of European descent,40,3
,3,1,7,3,STEM,5,30,170000,14,Male,White or of European descent,60,5
2,2,3,7,3,STEM,60,7,125000,12,Male,White or of European descent,30,4
,1,,7,3,STEM,5,10,60000,8,Male,White or of European descent,30,2
1,3,2,6,4,STEM,60,7,120000,14,Non-Male,White or of European descent,30,4
,1,2,2,4,STEM,60,1,85000,12,Male,White or of European descent,21,3
2,5,5,8,4,STEM,20000,19,163000,12,Male,White or of European descent,40,5
2,3,3,5,3,STEM,750,1,45000,8,Male,White or of European descent,30,1
2,1,2,6,2,NON-STEM,15,1,32000,12,,,,1
2,1,1,6,4,NON-STEM,20000,4,60000,12,Male,White or of European descent,30,2
1,1,4,6,4,STEM,300,16,115000,14,Male,White or of European descent,30,4
1,2,1,8,3,STEM,5,19,85000,,,,,3
,,2,7,3,STEM,5,1,65000,12,Male,White or of European descent,21,2
2,2,3,5,4,STEM,20000,4,137000,8,Male,,30,4
1,1,1,10,1,STEM,20000,19,100000,14,Male,White or of European descent,50,3
1,3,2,9,1,STEM,15,19,95000,12,Male,White or of European descent,40,3
1,,1,4,3,,300,10,125000,14,Male,White or of European descent,40,4
3,5,3,8,4,STEM,20000,4,106000,12,Male,White or of European descent,30,4
,,2,7,3,STEM,3000,1,55000,8,Male,White or of European descent,21,2
4,2,2,7,4,STEM,60,4,80000,12,Male,East Asian,30,3
1,,2,2,3,STEM,750,10,70000,12,Male,East Asian,40,2
,2,2,6,4,NON-STEM,3000,1,60060,8,Non-Male,White or of European descent,30,2
1,,2,6,3,STEM,20000,10,128000,12,Male,White or of European descent,40,4
,4,3,3,4,STEM,20000,19,95000,8,Male,White or of European descent,65,3
,1,2,9,3,STEM,20000,19,125000,12,Male,White or of European descent,60,4
3,1,6,8,4,STEM,5,4,44000,12,Male,White or of European descent,40,1
2,5,6,3,4,STEM,300,28,189000,12,Male,White or of European descent,60,5
3,1,6,6,4,STEM,20000,7,158000,12,Male,White or of European descent,30,5
,3,1,13,3,STEM,60,13,105000,8,Male,White or of European descent,30,4
,5,2,7,1,STEM,750,19,120000,12,Male,,40,4
,1,1,2,4,STEM,3000,10,90000,8,Male,White or of European descent,40,3
2,1,3,7,4,STEM,20000,4,97500,12,Male,White or of European descent,30,3
3,1,4,9,3,STEM,300,1,90000,12,Male,White or of European descent,30,3
1,3,2,4,4,STEM,300,4,159600,12,Male,Hispanic or Latino/Latina,30,5
4,4,3,19,3,STEM,300,10,40000,14,Male,White or of European descent,30,1
,4,4,7,3,STEM,60,4,62000,12,Male,White or of European descent,30,2
1,2,5,6,3,STEM,60,1,75000,14,Male,White or of European descent,21,2
2,1,4,4,3,STEM,60,10,155000,12,Non-Male,White or of European descent,30,5
,4,1,8,1,STEM,60,4,40000,12,Male,White or of European descent,30,1
,,3,2,3,NON-STEM,300,25,153000,12,Male,White or of European descent,50,5
4,,5,7,3,STEM,3000,7,115000,12,Male,Other,30,4
,1,,4,3,STEM,60,1,72000,8,Male,White or of European descent,21,2
,4,6,13,3,STEM,60,4,57600,14,Male,White or of European descent,21,2
4,2,11,8,4,STEM,750,7,206000,4,,,30,6
5,8,6,12,3,STEM,3000,13,130000,14,Male,White or of European descent,30,4
,7,,8,3,STEM,20000,16,182000,12,Male,White or of European descent,40,5
2,2,2,6,3,STEM,60,1,50000,12,Male,White or of European descent,21,1
,1,3,7,4,NON-STEM,300,4,116000,12,Male,White or of European descent,30,4
,,2,4,1,STEM,60,1,40000,12,Male,White or of European descent,21,1
,7,1,8,3,STEM,300,7,190000,12,Male,East Asian,30,5
2,2,4,8,4,STEM,300,10,70000,12,Male,White or of European descent,40,2
,,2,5,3,STEM,15,1,28800,12,Male,White or of European descent,21,1
4,2,3,7,1,STEM,15,4,45000,12,Male,White or of European descent,30,1
2,,2,10,3,STEM,60,1,65000,12,Male,White or of European descent,21,2
2,1,1,6,1,STEM,7500,7,58000,12,Male,White or of European descent,30,2
,1,1,3,4,STEM,750,7,74000,8,Male,,50,2
,2,2,7,1,STEM,5,7,70000,8,Male,White or of European descent,30,2
,,1,3,4,STEM,60,4,120000,12,Male,White or of European descent,30,4
,1,,3,4,STEM,60,4,100000,8,Male,White or of European descent,30,3
1,3,5,6,1,NON-STEM,15,19,80000,12,Male,White or of European descent,40,3
1,1,1,9,3,STEM,3000,1,60000,8,Male,East Asian,21,2
3,6,5,14,3,STEM,3000,10,75000,12,Male,White or of European descent,30,2
3,4,6,7,3,STEM,3000,10,220000,12,Non-Male,Other,40,6
2,2,4,4,3,STEM,300,4,88000,14,Male,White or of European descent,30,3
3,,2,6,3,STEM,750,30,92000,8,,,50,3
,,4,6,3,STEM,3000,4,100000,12,Male,White or of European descent,30,3
1,,2,5,3,STEM,15,4,75000,12,Male,White or of European descent,30,2
1,1,2,6,1,NON-STEM,20000,30,130000,12,Male,White or of European descent,60,4
,2,1,7,3,STEM,20000,10,90000,8,Male,White or of European descent,50,3
2,3,1,6,4,NON-STEM,60,4,82000,12,Male,White or of European descent,40,3
1,1,2,3,1,STEM,15,16,125000,12,Male,White or of European descent,60,4
1,,2,9,4,NON-STEM,60,4,60000,12,Male,White or of European descent,30,2
2,7,6,7,4,STEM,60,4,75000,12,Male,Hispanic or Latino/Latina,30,2
1,4,4,17,1,STEM,60,7,40000,14,Male,White or of European descent,30,1
,2,3,4,1,STEM,300,4,90000,8,Male,White or of European descent,21,3
2,,2,4,4,NON-STEM,300,10,150000,8,Male,White or of European descent,40,4
1,3,1,5,3,NON-STEM,5,7,52000,14,Male,White or of European descent,30,2
1,3,6,5,3,,60,4,71000,12,Male,White or of European descent,40,2
2,4,1,12,3,STEM,750,1,145000,8,Male,White or of European descent,21,4
1,3,2,4,3,STEM,750,7,147000,12,Non-Male,Other,30,4
1,1,2,5,4,STEM,60,19,145000,12,Male,White or of European descent,40,4
3,2,,9,4,STEM,15,10,70000,12,Male,White or of European descent,30,2
2,2,1,11,4,STEM,20000,7,103000,12,Male,Hispanic or Latino/Latina,30,4
,4,2,9,3,STEM,5,7,78000,14,Male,Black or of African descent,40,3
