NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
,,4,6,1,,15,19,75000,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;MariaDB;Amazon RDS/Aurora,,,8,Non-Male,White or of European descent,50,2
1,1,1,9,3,STEM,60,7,80000,C;C++;Java;JavaScript;PHP;Python;Ruby;SQL;Bash/Shell,PostgreSQL,Linux,React,8,Male,White or of European descent,30,3
3,1,6,5,4,STEM,20000,7,120000,C;F#;Haskell;Python;Scala,MySQL;PostgreSQL;Apache HBase;Apache Hive;Amazon Redshift;Neo4j,IBM Cloud or Watson,Hadoop;Spark;Torch/PyTorch,12,Male,White or of European descent,30,4
,4,4,4,3,NON-STEM,3000,4,70000,JavaScript;Python;SQL;VBA,SQL Server;MySQL;PostgreSQL;Amazon Redshift,Amazon Echo;Apple Watch or Apple TV;Arduino;Raspberry Pi,,12,Male,White or of European descent,30,2
1,1,2,8,4,,7500,1,60000,C#;Java;JavaScript;PHP;Python;SQL;HTML;CSS,SQL Server;MySQL,Windows Desktop or Server,.NET Core,8,Male,Black or of African descent,40,2
,4,3,8,3,STEM,60,4,60000,JavaScript;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell,MySQL;Oracle;MariaDB,Linux;Mac OS;Windows Desktop or Server;WordPress,,12,Male,East Asian,21,2
,7,6,4,4,STEM,20000,7,140000,Python;Ruby;SQL;Bash/Shell,"Cassandra;Redis;PostgreSQL;MariaDB;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure;Linux;Mac OS;Raspberry Pi;Serverless;WordPress,,12,Male,White or of European descent,30,4
2,2,6,7,3,STEM,300,19,185000,Java;JavaScript;Python;R;Scala;SQL;Bash/Shell,"MySQL;PostgreSQL;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure,Hadoop;Spark,12,Male,White or of European descent,40,5
2,4,6,7,4,NON-STEM,60,4,125000,JavaScript;Python;SQL;Swift;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;Amazon RDS/Aurora;Google BigQuery;Elasticsearch,AWS;Google Cloud Platform/App Engine;Serverless;Firebase,Node.js;React,12,Male,East Asian,30,4
,1,2,7,3,STEM,5,4,25000,CoffeeScript;Java;JavaScript;Ruby;SQL;HTML;CSS,MongoDB;PostgreSQL,Heroku,,12,Male,White or of European descent,30,1
1,7,3,10,1,STEM,3000,13,155000,C++;CoffeeScript;Go;Haskell;JavaScript;Objective-C;Ruby;Rust;SQL;Bash/Shell,SQL Server;MySQL;PostgreSQL,Android;AWS;Heroku;iOS;Linux;Mac OS;Windows Desktop or Server,Angular,12,Male,White or of European descent,30,5
1,1,2,7,4,STEM,300,10,113000,Groovy;Python;R;SQL;HTML;CSS;Bash/Shell,MySQL;Google BigQuery,Linux,TensorFlow,8,Non-Male,White or of European descent,40,4
2,,5,3,3,STEM,300,1,127000,Java;Ruby;SQL,Redis;MySQL;Apache HBase;Apache Hive;Memcached,,Hadoop;Spark,8,Non-Male,East Asian,21,4
,1,2,7,1,NON-STEM,750,19,110000,C#;JavaScript;SQL;VB.NET;HTML;CSS;Bash/Shell,SQL Server;PostgreSQL,Windows Desktop or Server,,12,Male,Hispanic or Latino/Latina,40,4
2,4,4,6,4,STEM,15,16,96000,C#;JavaScript;Python;SQL;HTML;CSS,SQL Server;PostgreSQL;SQLite;Amazon DynamoDB,Amazon Echo;AWS;Linux;Windows Desktop or Server,Node.js;React,8,Male,White or of European descent,40,3
1,3,4,9,3,STEM,60,7,94600,C#;Groovy;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,"SQL Server;MySQL;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Gaming console;Linux,Spring,12,Male,White or of European descent,30,3
2,3,3,6,4,STEM,15,4,80000,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Redis;PostgreSQL;Amazon DynamoDB,AWS;Linux;Serverless,Angular;Django,12,Male,Other,30,3
,1,3,5,3,STEM,3000,25,90000,SQL;VBA;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL,SharePoint,,12,Male,White or of European descent,50,3
1,2,4,8,1,STEM,60,19,112000,C++;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,Redis;MySQL;PostgreSQL;MariaDB,Linux;Windows Desktop or Server,.NET Core,14,Male,White or of European descent,40,4
3,6,1,8,1,STEM,300,22,78000,Haskell;JavaScript;Perl;Python;SQL;HTML;CSS;Bash/Shell,SQL Server,Azure;Drupal;Linux;Salesforce;SharePoint;Windows Desktop or Server,Angular;Django;Node.js,12,Male,White or of European descent,40,3
2,,3,6,3,STEM,3000,10,75000,C#;JavaScript;SQL;TypeScript;HTML;CSS,SQL Server;MySQL;Oracle,,Angular;.NET Core,12,Male,White or of European descent,30,2
2,3,3,9,4,STEM,60,4,53000,C;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;MariaDB,Heroku;Linux;WordPress,Django;Hadoop,8,Male,White or of European descent,30,2
,1,1,4,4,STEM,3000,16,110000,Python;SQL;VBA;Bash/Shell,SQL Server,Windows Desktop or Server,,12,Male,White or of European descent,50,4
,,,3,3,STEM,7500,16,200000,C;C#;Bash/Shell,,,,12,Male,Other,40,5
4,2,4,7,3,STEM,750,7,83000,CoffeeScript;Java;JavaScript;PHP;SQL;HTML;CSS,MongoDB;MySQL;Memcached;Elasticsearch,Raspberry Pi;Firebase,Angular;Node.js;React;Spring,8,Male,White or of European descent,30,3
1,4,7,7,1,NON-STEM,300,10,72000,JavaScript;PHP;SQL;VB.NET;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;SQLite;MariaDB;Memcached,Heroku;Linux;Windows Desktop or Server;WordPress,.NET Core,12,Male,White or of European descent,30,2
